text_file,audio_file,wer,edit_distance,ref_words,reference,hypothesis
text_fileid_0_doa1_spk1.txt,enhanced_fileid_0_doa1_spk1.wav,0.16279069767441862,7,43,SO YOU SEE HE WOULD HAVE BEEN A VERY PROFOUND OLD MAN INDEED TO SUSPECT THAT EVERY NIGHT JUST AT TWELVE I LOOKED IN UPON HIM WHILE HE SLEPT UPON THE EIGHTH NIGHT I WAS MORE THAN USUALLY CAUTIOUS IN OPENING THE DOOR,"So you see, it was a very profound man indeed to suspect that every night, just at twelve, I looked in upon him while he slept. Upon the eighth night, I was more than usually cautious in opening to walk."
text_fileid_0_doa265_spk3.txt,enhanced_fileid_0_doa265_spk3.wav,0.02564102564102564,1,39,AND HAD SAVED THE MOST PRECIOUS OF THE ARTICLES AT THE RISK OF HIS LIFE NOT THAT WE HAD SUFFERED NO LOSSES FOR INSTANCE OUR FIREARMS BUT WE MIGHT DO WITHOUT THEM OUR STOCK OF POWDER HAD REMAINED UNINJURED,"and had saved the most precious of the oracles at the risk of his life. Not that we had suffered no losses, for instance, our firearms, but we might do without them. Our stock of powder had remained uninjured."
text_fileid_0_doa39_spk2.txt,enhanced_fileid_0_doa39_spk2.wav,2.769230769230769,36,13,ONCE UPON A TIME THERE WAS A SERVANT WHO SERVED A WISE MAN,"Once upon a time they will getwerkster to be served a wife. Not that means I will know. I will be, an employee of the law with acquire, lie to the McCarthy. Marcel Marcia runs short, who'll be while they only skillful."
text_fileid_100_doa223_spk2.txt,enhanced_fileid_100_doa223_spk2.wav,0.7560975609756098,31,41,HE HAS GONE ABOUT LIKE A PICKPOCKET OF ILLUSIONS FROM THE WORLD OF LITERATURE TO THE WORLD OF MORALS AND FROM THE WORLD OF MORALS TO THE WORLD OF POLITICS AND EVERYWHERE HE HAS GONE AN INNUMERABLE GROWL HAS FOLLOWED HIM,"He's going about like a few fucking versions. The wrong language, the wrong world's wrong. The wrong world's wrong. And everywhere he is gone, he will grow as well."
text_fileid_100_doa300_spk3.txt,enhanced_fileid_100_doa300_spk3.wav,0.21428571428571427,9,42,SHE THEN RETURNED TO HER HOME AND REMAINED THERE UNTIL WHEN TWENTY ONE YEARS OLD AND RESOLVED TO GIVE HER LIFE TO SOME USEFUL AND BENEVOLENT OCCUPATION SHE DECIDED TO BECOME A TRAINED NURSE AND WENT TO LONDON TO STUDY THAT CALLING,She then returned to her home and remained there until 21-year-old and resolved to give her life as a youthful and benevolent occupation. She decided to become a trained nurse and went to London to study that home.
text_fileid_100_doa62_spk1.txt,enhanced_fileid_100_doa62_spk1.wav,0.96875,31,32,WHICH OTHERWISE SHOULD VANISH FROM MY EYES FOREVER AND I CALL ON YOU SPIRITS OF THE DEAD AND ON YOU WANDERING MINISTERS OF VENGEANCE TO AID AND CONDUCT ME IN MY WORK,"Each one of theא�my is the exchange from your own mind. Without a видел, he wantsible. And without a lemma writing, he wants"
text_fileid_101_doa162_spk1.txt,enhanced_fileid_101_doa162_spk1.wav,0.43333333333333335,13,30,FOR THE OLD SQUIRE'S VISITS TO HIS TENANTRY WERE RARE AND THOUGH MISSUS POYSER HAD DURING THE LAST TWELVEMONTH RECITED MANY IMAGINARY SPEECHES MEANING EVEN MORE THAN MET THE EAR,"For the old choir assistants, his tenetries were rare. And Thomas Poirier had during the last 12 months decided many imaginary speeches, meaning even more than that year."
text_fileid_101_doa196_spk2.txt,enhanced_fileid_101_doa196_spk2.wav,0.21875,7,32,HE ASKS HOLDING OUT HIS SNUFF BOX TO THE WOMEN THE WOMEN TAKE A PINCH OF SNUFF AND SNEEZE THE OLD MAN GOES INTO INDESCRIBABLE ECSTASIES BREAKS INTO LOUD LAUGHTER AND CRIES,"He asks, holding out his snuffbox to the women. The women take attention. And sneeze. The old man goes into indescribable ecstasies, rakes into loud laughter, and cries."
text_fileid_101_doa238_spk3.txt,enhanced_fileid_101_doa238_spk3.wav,1.2424242424242424,41,33,AND THE MOVEMENT FROM ANDANTE TO PRESTISSIMO HE WAS EXCEEDINGLY PARTICULAR ABOUT ARPEGGIO WORK AND INSISTED UPON THE REPETITION OF EVERY NOTE AND PASSAGE UNTIL ALL HARSHNESS AND ROUGHNESS OF TONE WERE ELIMINATED,"They are voting over this one of us. The women who are taking about the year having to take about it, постоянно we're able to do this, because of our recognition of energy and the family of our folks are not just that around us."
text_fileid_102_doa112_spk1.txt,enhanced_fileid_102_doa112_spk1.wav,1.7307692307692308,45,26,WHENEVER ANY ONE ASKED HIM HOW DO YOU INTEND TO DRESS YOURSELF THIS EVENING HE REPLIED I SHALL UNDRESS MYSELF AT WHICH THE LADIES ALL LAUGHED,"We're all a single, C. Proud of you, and I'll ask yourself a single one. But what do you think are often? I'm a rational friend, I guess myself. I wish the ladies all alike. Then he gave me one myriad of tears, saying, This is for the court of time."
text_fileid_102_doa152_spk3.txt,enhanced_fileid_102_doa152_spk3.wav,0.22916666666666666,11,48,SUCCOUR ABU HASSAN AL ZIYADI AFTER THAT I DARED NOT SLEEP ANY MORE BUT WATCHED THE REST OF THE NIGHT AND AROUSED MY PEOPLE AND SENT THEM ON ALL SIDES IN QUEST OF THEE THEN HE GAVE ME ONE MYRIAD OF DIRHAMS SAYING THIS IS FOR THE KHORASANI,"Sakurab-ul-Hasan of the Adi. After that I dared not sleep anymore, but watched the rest of the night and aroused my people and set them on all sides and quested thee. Then he gave me one myriad of dirhams, saying, This is for the Khorasani."
text_fileid_102_doa233_spk2.txt,enhanced_fileid_102_doa233_spk2.wav,0.9230769230769231,24,26,BUT WILL FALL TO CUTTING AND SLASHING TILL HE MAKES THEM ALL RISE UP DEAD MEN NO NO SAYS I THERE IS REASON IN ALL THINGS,"But we'll come to cutting and slashing till he makes a call and rise up to death then. No, no, says I. There is reason in all things. Then he gave me one of my other heroes, saying, this is for the court assigned."
text_fileid_103_doa108_spk1.txt,enhanced_fileid_103_doa108_spk1.wav,0.5833333333333334,21,36,BUT KIYOMORI DESIRING TO DESTROY THE FAMILY OF YOSHITOMO ROOT AND BRANCH ORDERED HIS RETAINERS TO DIVIDE THEMSELVES INTO BANDS AND SEEK OUT THE CHILDREN AT LAST THEY WERE FOUND BUT TOKIWA WAS SO EXCEEDINGLY BEAUTIFUL,"But still more, that, for the standard of difficult rules and grants, order to determine to describe themselves as the power of children. And last they were found, by Tokyo-Man was so exceedingly beautiful."
text_fileid_103_doa305_spk2.txt,enhanced_fileid_103_doa305_spk2.wav,0.25,7,28,I WISH I HAD A THIMBLEFUL OF POWDER TO MAKE THIS WHISTLE SOUND' AND HE TOOK MASKEW'S SILVER BUTTED PISTOL AGAIN FROM HIS BOSOM AND HANDLED IT LOVINGLY,"I wish I had a thimble full of powder to make this whistle sound. Then he took my skewed, silver-butted pistol again from his whistle and handled it lovingly."
